rx_data_id (OUT),end_device_id (OUT),gateway_id (OUT),received_time (OUT),sequence_number (OUT),port (OUT),radio_id (OUT),channel (OUT),snr_db (OUT),rssi_dbm (OUT),frequency_hz (OUT),modulation_type (OUT),data_rate (OUT),coding_rate (OUT),adr (OUT),payload (OUT)
103508,3036363264397D0B,7276FF0039030A46,1665665396,56,2,0,1,-1.200000,-49,868300000,LoRa,SF7BW125,4/5,true,ACcQHAH0/j4JDQUDqwAA
103509,303636326B39820B,7276FF0039030A46,1665665396,33,2,0,0,9.800000,-53,868100000,LoRa,SF7BW125,4/5,true,ACcQGgH0/j4JDQUDqwAA
103510,303636328039740A,7276FF0039030A46,1665665397,3,2,0,1,12.200000,-45,868300000,LoRa,SF12BW125,4/5,true,ACcQHAH0/j4JDQUDqwAA
103511,303636326739830B,7276FF0039030A46,1665665401,24,2,0,2,8.000000,-43,868500000,LoRa,SF7BW125,4/5,true,ACcQGwH0/j4JDQUDqwAA
103512,303636326E398D17,7276FF0039030A46,1665665406,43,2,0,2,7.800000,-52,868500000,LoRa,SF7BW125,4/5,true,ACcQHAH0/j4JDQUDqwAA
103513,3036363264397D0B,7276FF0039030A46,1665665406,57,2,0,2,7.000000,-46,868500000,LoRa,SF7BW125,4/5,true,ACcQHAH0/j4JDQUDqwAA
103514,303636326B39820B,7276FF0039030A46,1665665406,34,2,0,2,7.500000,-49,868500000,LoRa,SF7BW125,4/5,true,ACcQGgH0/j4JDQUDqwAA
103515,303636328039740A,7276FF0039030A46,1665665407,4,2,0,1,11.000000,-43,868300000,LoRa,SF12BW125,4/5,true,ACcQGwH0/j4JDQUDqwAA
103516,303636326739830B,7276FF0039030A46,1665665411,25,2,0,2,7.500000,-41,868500000,LoRa,SF7BW125,4/5,true,ACcQGgH0/j4JDQUDqwAA
103517,303636326E398D17,7276FF0039030A46,1665665416,44,2,0,0,9.200000,-47,868100000,LoRa,SF7BW125,4/5,true,ACcQHAH0/j4JDQUDqwAA
103518,3036363264397D0B,7276FF0039030A46,1665665416,58,2,0,1,10.000000,-46,868300000,LoRa,SF7BW125,4/5,true,ACcQHAH0/j4JDQUDqwAA
103519,303636326B39820B,7276FF0039030A46,1665665416,35,2,0,0,8.200000,-71,868100000,LoRa,SF7BW125,4/5,true,ACcQGgH0/j4JDQUDqwAA
103520,303636328039740A,7276FF0039030A46,1665665417,5,2,0,2,9.800000,-43,868500000,LoRa,SF12BW125,4/5,true,ACcQGwH0/j4JDQUDqwAA
103521,303636326739830B,7276FF0039030A46,1665665421,26,2,0,0,11.000000,-44,868100000,LoRa,SF7BW125,4/5,true,ACcQGwH0/j4JDQUDqwAA
103522,303636326E398D17,7276FF0039030A46,1665665426,45,2,0,2,8.000000,-46,868500000,LoRa,SF7BW125,4/5,true,ACcQHAH0/j4JDQUDqwAA
103523,3036363264397D0B,7276FF0039030A46,1665665426,59,2,0,2,7.800000,-47,868500000,LoRa,SF7BW125,4/5,true,ACcQHAH0/j4JDQUDqwAA
103524,303636328039740A,7276FF0039030A46,1665665427,6,2,0,1,11.500000,-43,868300000,LoRa,SF12BW125,4/5,true,ACcQHAH0/j4JDQUDqwAA
103525,303636326739830B,7276FF0039030A46,1665665431,27,2,0,0,10.000000,-46,868100000,LoRa,SF7BW125,4/5,true,ACcQGwH0/j4JDQUDqwAA
103526,303636326E398D17,7276FF0039030A46,1665665436,46,2,0,1,9.800000,-49,868300000,LoRa,SF7BW125,4/5,true,ACcQHQH0/j4JDQUDqwAA
103527,3036363264397D0B,7276FF0039030A46,1665665436,60,2,0,0,9.500000,-47,868100000,LoRa,SF7BW125,4/5,true,ACcQHAH0/j4JDQUDqwAA
103528,303636326B39820B,7276FF0039030A46,1665665436,37,2,0,0,9.800000,-58,868100000,LoRa,SF7BW125,4/5,true,ACcQGgH0/j4JDQUDqwAA
103529,303636328039740A,7276FF0039030A46,1665665437,7,2,0,2,9.500000,-45,868500000,LoRa,SF12BW125,4/5,true,ACcQHAH0/j4JDQUDqwAA
103530,303636326739830B,7276FF0039030A46,1665665441,28,2,0,0,9.200000,-41,868100000,LoRa,SF7BW125,4/5,true,ACcQGgH0/j4JDQUDqwAA
103531,303636328039740A,7276FF0039030A46,1665665446,8,2,0,2,7.500000,-51,868500000,LoRa,SF7BW125,4/5,true,ACcQHAH0/j4JDQUDqwAA
103532,303636326E398D17,7276FF0039030A46,1665665446,47,2,0,2,7.500000,-47,868500000,LoRa,SF7BW125,4/5,true,ACcQHAH0/j4JDQUDqwAA
103533,3036363264397D0B,7276FF0039030A46,1665665446,61,2,0,2,7.800000,-45,868500000,LoRa,SF7BW125,4/5,true,ACcQHAH0/j4JDQUDqwAA
103534,303636326B39820B,7276FF0039030A46,1665665446,38,2,0,0,9.500000,-73,868100000,LoRa,SF7BW125,4/5,true,ACcQGgH0/j4JDQUDqwAA
103535,303636326739830B,7276FF0039030A46,1665665451,29,2,0,2,7.500000,-41,868500000,LoRa,SF7BW125,4/5,true,ACcQGwH0/j4JDQUDqwAA
103536,303636326E398D17,7276FF0039030A46,1665665456,48,2,0,0,9.500000,-49,868100000,LoRa,SF7BW125,4/5,true,ACcQHQH0/j4JDQUDqwAA
103537,3036363264397D0B,7276FF0039030A46,1665665456,62,2,0,1,10.500000,-46,868300000,LoRa,SF7BW125,4/5,true,ACcQHAH0/j4JDQUDqwAA
103538,303636326B39820B,7276FF0039030A46,1665665456,39,2,0,0,9.500000,-67,868100000,LoRa,SF7BW125,4/5,true,ACcQGgH0/j4JDQUDqwAA
103539,303636326739830B,7276FF0039030A46,1665665461,30,2,0,1,9.500000,-43,868300000,LoRa,SF7BW125,4/5,true,ACcQGwH0/j4JDQUDqwAA
103540,303636326E398D17,7276FF0039030A46,1665665466,49,2,0,2,8.000000,-45,868500000,LoRa,SF7BW125,4/5,true,ACcQHQH0/j4JDQUDqwAA
103541,3036363264397D0B,7276FF0039030A46,1665665466,63,2,0,2,7.200000,-44,868500000,LoRa,SF7BW125,4/5,true,ACcQHAH0/j4JDQUDqwAA
103542,303636326B39820B,7276FF0039030A46,1665665466,40,2,0,2,7.200000,-50,868500000,LoRa,SF7BW125,4/5,true,ACcQGgH0/j4JDQUDqwAA
103543,303636326739830B,7276FF0039030A46,1665665471,31,2,0,0,9.500000,-42,868100000,LoRa,SF7BW125,4/5,true,ACcQGgH0/j4JDQUDqwAA
103544,303636328039740A,7276FF0039030A46,1665665474,1,2,0,1,12.800000,-40,868300000,LoRa,SF12BW125,4/5,true,ACcQHAH0/j4JDQUDqwAA
103545,303636326E398D17,7276FF0039030A46,1665665476,50,2,0,2,7.500000,-47,868500000,LoRa,SF7BW125,4/5,true,ACcQHQH0/j4JDQUDqwAA
103546,3036363264397D0B,7276FF0039030A46,1665665476,64,2,0,1,9.500000,-45,868300000,LoRa,SF7BW125,4/5,true,ACcQHAH0/j4JDQUDqwAA
103547,303636326B39820B,7276FF0039030A46,1665665476,41,2,0,0,10.200000,-61,868100000,LoRa,SF7BW125,4/5,true,ACcQGgH0/j4JDQUDqwAA
103548,303636326739830B,7276FF0039030A46,1665665481,32,2,0,1,10.000000,-46,868300000,LoRa,SF7BW125,4/5,true,ACcQGwH0/j4JDQUDqwAA
103549,303636328039740A,7276FF0039030A46,1665665483,2,2,0,1,9.200000,-45,868300000,LoRa,SF12BW125,4/5,true,ACcQHAH0/j4JDQUDqwAA
